Date	Price
1/1/2018	40.34
1/2/2018	71.99
1/3/2018	47.96
1/4/2018	81.11
1/5/2018	55.85
1/6/2018	96.57
1/7/2018	88.9
1/8/2018	97.3
1/9/2018	16.37
1/10/2018	46.68
1/11/2018	91.29
1/12/2018	26.68
1/13/2018	47.52
1/14/2018	58.85
1/15/2018	35.86
1/16/2018	21.88
1/17/2018	2.9
1/18/2018	10.81
1/19/2018	0.74
1/20/2018	61.65
1/21/2018	17.43
1/22/2018	80.21
1/23/2018	66.04
1/24/2018	53.56
1/25/2018	65.23
1/26/2018	18.63
1/27/2018	19.18
1/28/2018	57.41
1/29/2018	43.44
1/30/2018	99.09
1/31/2018	70.15
2/1/2018	86.05
2/2/2018	54.3
2/3/2018	60.73
2/4/2018	83.16
2/5/2018	36.33
2/6/2018	68.19
2/7/2018	66.83
2/8/2018	59.72
2/9/2018	45.24
2/10/2018	11.97
2/11/2018	88.93
2/12/2018	16.47
2/13/2018	4.59
2/14/2018	27.04
2/15/2018	13.22
2/16/2018	12.44
2/17/2018	80.03
2/18/2018	39.7
2/19/2018	2.64
2/20/2018	46.46
2/21/2018	66.42
2/22/2018	62.64
2/23/2018	56.76
2/24/2018	78.44
2/25/2018	30.79
2/26/2018	40.78
2/27/2018	85.99
2/28/2018	2.93
3/1/2018	53.46
3/2/2018	7.06
3/3/2018	83.9
3/4/2018	13.55
3/5/2018	24.25
3/6/2018	6.92
3/7/2018	9.19
3/8/2018	28.54
3/9/2018	6.11
3/10/2018	63.44
3/11/2018	68.84
3/12/2018	10.16
3/13/2018	30.91
3/14/2018	15.56
3/15/2018	70.55
3/16/2018	5.33
3/17/2018	79.35
3/18/2018	99.35
3/19/2018	34.45
3/20/2018	95.28
3/21/2018	40.75
3/22/2018	77.75
3/23/2018	14.36
3/24/2018	17.82
3/25/2018	67.99
3/26/2018	99.17
3/27/2018	58.19
3/28/2018	4.63
3/29/2018	30.48
3/30/2018	29.17
3/31/2018	87.17
4/1/2018	71.53
4/2/2018	98.37
4/3/2018	96.22
4/4/2018	11.83
4/5/2018	99.78
4/6/2018	90.23
4/7/2018	32.46
4/8/2018	74.49
4/9/2018	9
4/10/2018	29.29
4/11/2018	68.72
4/12/2018	98.16
4/13/2018	50.93
4/14/2018	47
4/15/2018	35.15
4/16/2018	70.73
4/17/2018	23.13
4/18/2018	71.72
4/19/2018	5.88
4/20/2018	73.09
4/21/2018	82.1
4/22/2018	50.56
4/23/2018	17.39
4/24/2018	13.05
4/25/2018	69.32
4/26/2018	66.76
4/27/2018	21.97
4/28/2018	13.48
4/29/2018	77.29
4/30/2018	31.49
5/1/2018	32.51
5/2/2018	87.89
5/3/2018	71.48
5/4/2018	36.69
5/5/2018	90.34
5/6/2018	94.92
5/7/2018	52.08
5/8/2018	62.51
5/9/2018	19.62
5/10/2018	7.19
5/11/2018	34.67
5/12/2018	81.34
5/13/2018	9.99
5/14/2018	1.24
5/15/2018	41.42
5/16/2018	78.12
5/17/2018	73.22
5/18/2018	39.69
5/19/2018	8.08
5/20/2018	96.08
5/21/2018	23.54
5/22/2018	42.84
5/23/2018	19.54
5/24/2018	96.69
5/25/2018	19.48
5/26/2018	65.71
5/27/2018	13.49
5/28/2018	39.37
5/29/2018	42.35
5/30/2018	52.16
5/31/2018	62.3
6/1/2018	19.51
6/2/2018	24.24
6/3/2018	13.59
6/4/2018	87.52
6/5/2018	71.5
6/6/2018	79.88
6/7/2018	80.23
6/8/2018	98.1
6/9/2018	8.87
6/10/2018	39.57
6/11/2018	31.25
6/12/2018	31.61
6/13/2018	44.76
6/14/2018	78.24
6/15/2018	83.04
6/16/2018	67.01
6/17/2018	95.63
6/18/2018	64.94
6/19/2018	97.7
6/20/2018	24.26
6/21/2018	56.33
6/22/2018	11.38
6/23/2018	60.76
6/24/2018	89.94
6/25/2018	80.49
6/26/2018	83.09
6/27/2018	7.3
6/28/2018	25.89
6/29/2018	93.95
6/30/2018	9.57
